======================================================================
  VCP 扫描器 v3 | 2026-08-17 21:52
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 20.1%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 170 只 VCP 形态标的：

 VCP分    代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    1   HUM  384.31    44  14.8/7.3/10.2   5.99  36.77  392.58  2.15   10.39  381.87  381.20  401.24  353.57
    1  PCAR  130.84    40   16.6/5.1/6.8   3.71  65.19  133.71  2.19    6.03  131.56  130.66  137.54  120.37
    1   SWX   91.26    19    3.8/3.1/3.8   3.80  54.71   93.26  2.19    3.40   91.61   91.39   93.73   83.96
    1   PRI  309.92    18   10.7/4.0/5.9   2.89  52.24  316.77  2.21    5.30  314.29  313.07  324.75  285.13
    1   SSD  195.89     3   6.0/6.3/12.1   4.36  65.51  200.37  2.29    8.24  195.05  194.15  206.31  180.22
    1   TDY  677.27    29    5.8/5.6/9.6   3.50  29.60  694.17  2.50    2.92  677.42  667.85  687.71  623.09
    1   ATR  131.74     0    6.1/6.4/7.2   4.24  59.93  135.05  2.51   10.33  133.36  132.65  138.25  121.20
    1   LYV  184.44    12    7.8/5.6/8.7   3.94  45.12  189.25  2.61    2.54  184.26  182.53  187.18  169.68
    1   EMR  162.05    23  14.3/6.3/12.2   4.62  59.25  166.35  2.65    2.58  160.18  155.20  162.82  149.09
    1   PKG  252.97    34   12.3/6.0/8.5   3.24  50.65  259.98  2.77    2.70  253.95  249.47  255.75  232.73
    1  VOYA  100.14    47    6.7/4.9/8.7   4.62  51.39  103.05  2.91    3.57  100.42   99.40  102.83   92.13
    1    CR  218.59    12  10.4/6.6/11.0   6.52  50.77  225.00  2.93    5.17  219.52  218.86  227.62  201.10
    1   FHI   64.15    22    9.5/6.3/7.8   6.58  71.36   66.06  2.98    4.54   63.18   61.90   66.04   59.02
    1   FDX  331.49    81   11.4/5.2/5.9   6.53  49.23  341.69  3.08    4.02  325.81  321.04  337.29  304.97
    1   SJM  117.83     4    9.0/8.4/9.4   4.91  46.85  121.51  3.12    7.69  119.20  118.23  125.82  108.40
    1    CF  117.78    51 22.2/14.7/15.9   6.78  58.79  121.53  3.18   17.03  118.65  118.94  127.71  108.36
    1   PHM  128.49     1   13.6/6.1/7.4   3.67  70.28  132.75  3.32   11.08  130.07  129.58  134.58  118.21
    1   UNM   91.51    42    6.2/7.4/9.2   5.29  52.51   94.55  3.32    3.22   91.04   89.98   93.14   84.19
    1   SON   56.75    26    7.6/8.6/8.7   3.57  44.85   58.64  3.33    6.46   57.70   57.21   59.92   52.21
    1   AIZ  281.11    45    5.9/4.4/8.4   4.36  56.66  290.50  3.34    7.51  283.37  281.79  300.06  258.62
    1   EPR   60.50    13    6.2/3.5/8.2   4.95  69.80   62.58  3.44    6.88   61.23   61.31   64.36   55.66
    1  JAZZ  248.36    87    8.8/6.8/9.2   6.87  55.69  257.16  3.54    6.30  250.41  250.38  261.99  228.49
    1   OMC   85.46    11 10.9/10.0/12.5   5.74  32.25   88.55  3.62    3.49   85.07   83.29   87.18   78.62
    1    SN  183.62    67   17.5/7.0/9.6   4.79  71.31  190.28  3.63    3.50  179.81  170.46  184.78  168.93
    1   TRV  364.51    49    7.3/6.9/7.3   3.92  40.51  378.46  3.83    8.58  372.82  369.93  392.20  335.35
    1    TT  475.32    10   8.3/6.3/10.0   4.29  33.47  493.71  3.87    6.04  476.56  474.83  487.59  437.29
    1   XYZ   80.20     4   7.7/9.9/11.0   8.40  51.22   83.72  4.39    7.55   80.84   80.34   85.50   73.78
    1   LLY 1183.16    76   8.8/9.2/10.0   6.58  43.33 1240.10  4.81    5.31 1191.47 1184.66 1225.22 1088.51
    1   ETN  455.40    32   9.3/8.8/14.2   7.05  53.25  478.00  4.96    4.73  446.49  433.52  464.38  418.97
    1  STLD  258.16    86 19.6/10.1/25.1   8.39  60.70  271.00  4.97   10.59  259.42  255.32  268.29  237.51
    1    SW   47.81    11 16.8/11.7/14.1   6.42  67.99   50.19  4.98    9.19   48.47   47.61   50.90   43.99
    1   ATI  231.78    94 14.5/13.0/14.5   8.74  49.23  243.57  5.09    4.84  221.96  211.48  235.75  213.24
    1  AXTA   36.11    18  10.0/5.6/10.2   5.42  74.72   37.95  5.10    6.48   36.80   35.98   37.80   33.22
    1   DAL   87.59    57   9.6/8.9/15.7   5.35  44.34   92.21  5.27    8.46   89.63   89.01   93.38   80.58
    1   CHE  524.98    17    6.4/6.8/8.7   6.29  59.48  553.41  5.42    5.75  535.39  526.74  549.82  482.98
    1  PANW  375.76    88 17.1/14.5/16.3   7.14  61.75  398.88  6.15    5.80  373.80  359.30  388.61  345.70
    1  FTNT  155.85    84 11.3/-1.8/15.6   6.54  65.84  165.75  6.35    9.44  160.44  159.37  168.87  143.38
    1  CRWD  213.90    85 21.4/13.6/19.9   6.80  65.23  227.50  6.36    5.98  214.23  206.43  221.44  196.79
    1    GM   84.37    63   13.1/4.9/6.3   6.40  63.45   89.74  6.36    8.14   86.63   85.52   89.91   77.62

  💡 VCP分: 3=3段递减 ✓  2=2段递减  1=仅窄幅整理
======================================================================

======================================================================
  📊 今日 VCP 扫描汇总
  🇺🇸 美股  🎯: 170 只
======================================================================
